Strain_code	Ochiai_measure
Streptococcus_34	0.1426954482
Acinetobacter_9	0.1426954482
Acidipropionibacterium_0	0.1426954482
Streptococcus_43	0.1426954482
Actinobacillus_4	0.1426954482
Acinetobacter_10	0.1426954482
Streptococcus_58	0.1426954482
Clostridium_20	0.1426954482
Renibacterium_0	0.1426954482
Corynebacterium_14	0.1426954482
Bacteroides_4	0.1426954482
Bacteroides_24	0.1426954482
Staphylococcus_42	0.1426954482
Thermobispora_0	0.1426954482
Staphylococcus_19	0.1426954482
Lactobacillus_45	0.1426954482
Weissella_1	0.1426954482
Lactobacillus_74	0.1426954482
Thermomonospora_0	0.1426954482
Neisseria_2	0.1386750491
Neisseria_9	0.1386750491
Staphylococcus_28	0.1386750491
Haemophilus_6	0.1386750491
Thermobifida_0	0.1386750491
Selenomonas_5	0.1386750491
Lactobacillus_28	0.1386750491
Moorella_0	0.1386750491
Thiomonas_0	0.1386750491
Blattabacterium_0	0.1386750491
Bifidobacterium_21	0.1386750491
Actinobacillus_0	0.1386750491
Clostridium_12	0.1386750491
Corynebacterium_6	0.1386750491
Corynebacterium_3	0.1386750491
Bifidobacterium_35	0.1386750491
Leptotrichia_1	0.1386750491
Chlorobaculum_1	0.1386750491
Rhodoferax_0	0.1386750491
Eubacterium_10	0.1386750491
Clostridium_39	0.1386750491
Corynebacterium_13	0.1386750491
Corynebacterium_10	0.1386750491
Enterococcus_24	0.1386750491
Ruminiclostridium_6	0.1386750491
Eubacterium_34	0.1386750491
Lactobacillus_68	0.1386750491
Lactobacillus_63	0.1386750491
Enterococcus_9	0.1349763812
Staphylococcus_52	0.1349763812
Blautia_0	0.1349763812
Veillonella_1	0.1349763812
Histophilus_0	0.1349763812
Streptococcus_37	0.1349763812
Streptococcus_36	0.1349763812
Collinsella_2	0.1349763812
Pasteurella_1	0.1349763812
Actinobacillus_3	0.1349763812
Corynebacterium_8	0.1349763812
Streptococcus_67	0.1349763812
Pelotomaculum_0	0.1349763812
Paraprevotella_1	0.1349763812
Chryseobacterium_0	0.1349763812
Ruminiclostridium_3	0.1349763812
Enterococcus_35	0.1349763812
Rothia_3	0.1349763812
Desulfovibrio_9	0.1349763812
Desulfovibrio_5	0.1349763812
Bartonella_1	0.1315587029
Blautia_4	0.1315587029
Veillonella_7	0.1315587029
Selenomonas_4	0.1315587029
