SEED_id	name	concentration
cpd00277	Deoxyguanosine	1
cpd00179	D-Maltose	0.01973684
cpd00214	Palmitic acid	0.19818545
cpd11657	Starch	0.06818182
cpd11658	Dextran	0.00390625
cpd05565	Inuline	0.01041667
cpd00117	D-Alanine	1
cpd00263	Pyridoxine	1
cpd00265	Amylopectin	0.00034722
cpd00075	Nitrite	1
cpd00076	Sucrose	0.01973684
cpd11955	Glucomannan	0.00072844
cpd00018	Adenosine monophosphate	1
cpd00751	L-Fucose	0.03947368
cpd00184	Thymidine	1
cpd01188	Lanosterin	1
cpd00419	Pyridoxamine	1
cpd00066	L-Phenylalanine	1
cpd00516	meso-2-6-Diaminoheptanedioate	1
cpd15560	Ubiquinone-8	1
cpd22518	CELLULOSE	0.000625
cpd00393	Folic acid	1
cpd00108	D-Galactose	0.03947368
cpd11640	Hydrogen	1
cpd00104	Biotin	1
cpd00105	D-Ribose	0.04736842
cpd00106	Fumaric acid	1
cpd00107	L-Leucine	0.15
cpd00100	Glycerol	0.89982743
cpd00249	Uridine	1
cpd00063	Calcium	1
cpd00215	Pyridoxal	1
cpd03396	Selenic acid	1
cpd00067	Hydrogen Ion	1
cpd00065	L-Tryptophan	0.08181818
cpd00064	Ornithine	1
cpd00069	L-Tyrosine	1
cpd00218	Nicotinic acid	1
cpd00220	Riboflavin	1
cpd01914	Methionine sulfoxide	1
cpd11574	Molybdate	1
cpd22448	Beta-D-Glucans	0.00000156
cpd00359	indol	1
cpd00119	L-Histidine	0.15
cpd00118	Putrescine	1
cpd01741	Dodecanoic acid	1
cpd00116	Methanol	10
cpd11732	Xylan	0.00071023
cpd11735	Amylose	0.00104167
cpd00111	Oxidized glutathione	1
cpd00207	Guanine	1
cpd00355	Nicotinamide ribotide	1
cpd00205	Potassium	1
cpd00055	Formaldehyde	1
cpd00053	L-Glutamine	0.18
cpd00051	L-Arginine	0.15
cpd00322	L-Isoleucine	0.15
cpd00209	Nitrate	1
cpd00208	Alpha-Lactose	0.01973684
cpd00210	Taurine	1.000
cpd00159	Lactate	1.000
